Standort,Raum,ap,apmodel,status,Institut,address,category,extra,latlng,geocoding,location
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L00.001,apa07-0iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L01.001,apa02-1iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L01.001,apa01-1iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,L00.001,apa08-0iv,Alcatel-Lucent -> OAW-AP325,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa01-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa04-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa05-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa03-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
Studentenbistro MartinsriedGrosshaderner Strasse 9a82152 Planegg-Martinsried,Stu-Bistro,apa02-0iv,Alcatel-Lucent -> OAW-AP365,2019-10-16 13:51:00,LMU,"Martinsried Grosshaderner Strasse 9a, 82152 München",restaurant,-,"(-,-)","(48.10993, 11.45848)","(48.10993, 11.45848)"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",208,apa01-2bw,Alcatel-Lucent -> OAW-AP325,2019-11-05 07:49:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",-002,apa01-kbw,Alcatel-Lucent -> OAW-AP325,2019-07-30 11:51:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",110,apa01-1bw,Alcatel-Lucent -> OAW-AP325,2019-11-05 07:39:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"TUM, Geb. 2920Gabelsbergerstr. 4780333 München",010,apa01-0bw,Alcatel-Lucent -> OAW-AP325,2019-07-30 11:51:00,TUM,"Gabelsbergerstr. 47, 80333 München",office,0203,"('48.147834454', '11.5666762848')","(48.147869, 11.566515)","('48.147834454', '11.5666762848')"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R2.088, 2.OG, HeÃstr., HM",apa09-2rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 10:10:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R1.012, 1.OG, Hesstr., HM",apa09-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum R2.006, 2.OG, HM HeÃstr.",apa04-2rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R3.072,apa19-3rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.Raum BG.023 vor BG.009, BG, HM HeÃsstr.",apa02-krr,Alcatel-Lucent -> OAW-AP303h,2019-09-06 19:09:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Sem.-Raum R BG.052, BG, HM HeÃstr.",apa03-krr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R4.067, 4.OG, Hessstr., HM",apa07-4rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 0.105 Praktikum,apa29-0rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.2.073,apa22-2rr,Alcatel-Lucent -> OAW-AP325,2019-08-07 09:55:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HM Hessstr., 3.OG, Raum R3.012",apa03-3rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 3.020 Hoersaal,apa25-3rr,Alcatel-Lucent -> OAW-AP325,2019-11-12 14:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R.1.010a Labor,apa31-1rr,Alcatel-Lucent -> OAW-AP325,2019-09-09 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","R.1.134, Galerie vor Raum PQ K42",apa33-1rr,Alcatel-Lucent -> OAW-AP325,2019-10-29 14:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","Hoersaal R1.007, 1.OG, Hessstr., HM",apa21-1rr,Alcatel-Lucent -> OAW-AP135,2019-08-21 09:49:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 2.004, 2.OG",apa17-2rr,Alcatel-Lucent -> OAW-AP135,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München","HS R 1.083, 1.OG",apa27-1rr,Alcatel-Lucent -> OAW-AP135,2019-09-09 15:19:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
"HM, Gebäude R1, R2, R3Hessstrasse 89 / Lothstr. 6480335 München",R 4.001 Buero,apa13-4rr,Alcatel-Lucent -> OAW-AP303h,2019-08-07 09:59:00,HM,"Hessstrasse 89, 80335 München",office,-,"(-,-)","(48.15398, 11.55769)","(48.15398, 11.55769)"
